District,Street,Community,Coordinates,AvgPrice,StdPrice,MaxPrice,MinPrice,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
上城,南星,钱江候潮府,"120.22242,30.281974",71911.8,6829.638069473374,79710.0,57083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68966.0,0.0,57083.0,62044.0,75254.0,0.0,79710.0,0.0,72034.0,0.0,0.0,76565.5,0.0,0.0,0.0,0.0,75424.0,75472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,春江名苑,"120.192248,30.227163",57819.3,8926.57403542927,75000.0,44444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52778.0,0.0,0.0,0.0,55734.0,0.0,52107.5,0.0,0.0,0.0,0.0,0.0,44444.0,0.0,58268.0,0.0,59372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,71942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,滨江金色家园,"120.259168,30.2275",54614.74074074074,9222.415597407393,79655.0,33449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34622.0,0.0,0.0,0.0,0.0,0.0,33449.0,0.0,0.0,0.0,35560.0,0.0,0.0,0.0,45211.0,0.0,0.0,0.0,0.0,47958.0,0.0,39671.0,0.0,49761.0,0.0,0.0,63175.0,0.0,61613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62012.0,0.0,0.0,57823.0,49900.0,0.0,0.0,0.0,47587.0,48514.0,0.0,51958.5,0.0,52417.5,49981.666666666664,61120.0,60425.0,56257.666666666664,56769.333333333336,61883.0,51337.0,63720.0,64602.833333333336,52677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,赞成林风映水苑,"120.190016,30.227595",56196.0,4167.954510308384,63492.0,51990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58040.0,0.0,0.0,0.0,51990.0,0.0,0.0,0.0,0.0,63492.0,0.0,53302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,康都紫轩,"120.183592,30.228063",56779.44827586207,15416.471188391233,77182.0,23147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23147.0,30000.0,0.0,0.0,23697.0,0.0,0.0,0.0,0.0,0.0,0.0,27729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44856.0,0.0,56180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43812.0,0.0,0.0,0.0,56239.0,67535.0,64318.0,0.0,0.0,66472.0,67115.0,0.0,0.0,52664.0,57416.0,62101.0,68729.4,62210.666666666664,64796.666666666664,0.0,0.0,63889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,绿城蓝色钱江,"120.196688,30.224441",52766.0625,17208.321364490894,80996.0,32634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43300.0,0.0,0.0,37302.0,0.0,0.0,0.0,0.0,0.0,32881.0,0.0,0.0,0.0,0.0,65610.0,0.0,0.0,40792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39643.0,0.0,0.0,0.0,80996.0,0.0,0.0,65503.0,72555.0,56175.0,0.0,69253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,秋涛路178号,"120.179018,30.221476",32919.5,10678.5,43598.0,22241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,望江府,"120.258815,30.39822",69615.58823529411,15055.362574252886,97944.0,36753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36753.0,0.0,0.0,0.0,0.0,57263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71666.5,71714.0,0.0,0.0,0.0,0.0,0.0,74734.5,0.0,0.0,76934.33333333333,0.0,74157.0,74827.0,76830.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,水岸枫庭,"120.250532,30.375683",62436.291666666664,11783.226165752054,79545.0,38956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38956.0,0.0,40114.0,0.0,0.0,0.0,42952.0,0.0,0.0,0.0,0.0,57655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56517.0,0.0,62500.0,0.0,0.0,0.0,0.0,55114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62727.0,69319.0,0.0,0.0,69771.0,0.0,64773.0,0.0,66307.5,68288.8,73750.0,50701.5,79545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,钱江御府,"120.182326,30.226009",68736.16,10205.956185208714,96002.0,52941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56818.0,0.0,0.0,0.0,0.0,0.0,65403.5,52941.0,0.0,67042.66666666667,0.0,73034.0,71082.0,65405.0,0.0,0.0,65596.33333333333,0.0,0.0,66004.0,77991.33333333333,63194.0,96002.0,58108.0,79545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
