District,Street,Community,Longitude,Latitude,AveragePrice,StdDeviationPrice,MaxPrice,MinPrice,2013AvgPrice,2014AvgPrice,2015AvgPrice,2016AvgPrice,2017AvgPrice,2018AvgPrice,2019AvgPrice,2020AvgPrice,2021AvgPrice,2022AvgPrice
拱墅,石桥,华悦大厦,120.204972,30.341116,11857,0,11857,11857,0,0,0,0,0,11857,0,0,0,0
上城,四季青,常青苑,120.20494,30.244,42975,0,42975,42975,0,0,0,0,0,42975,0,0,0,0
上城,四季青,常青公寓,120.20493,30.24,41090.08333,2604.262578,45500,38000,0,0,0,0,0,38020.5,42352.8,44225.5,38166.5,40492
拱墅,半山,首开望宸,120.204845,30.355493,32525.05882,4479.825252,41288,22692,0,0,0,0,0,0,32256,33018.33333,0,0
上城,景芳,运新花苑一区,120.204626,30.266314,52110.4,7926.528007,62648,39785,0,0,0,0,42586,39785,48192,57058.16667,0,0
上城,火车东站,明桂北苑,120.204574,30.296344,32967.88889,2419.348762,36735,25714,0,0,0,0,0,0,34871,33335.54545,32406,28653
上城,火车东站,明桂苑,120.20452,30.296328,31914,1967.587355,33704,29174,0,0,0,0,0,0,0,33704,31019,0
拱墅,石桥,赞成武林里,120.204458,30.334149,28919,0,28919,28919,0,0,0,0,0,0,0,0,0,28919
拱墅,石桥,怡乐银座,120.20427,30.340903,11163.54545,3089.435823,15497,6977,0,0,0,7291,9116,11111,14541,13558.66667,0,0
余杭,崇贤,杭钢紫元旭润和府,120.204199,30.404567,17655.61538,2115.067856,26207,13387,0,0,0,0,0,0,0,17288.47778,18352.55172,18822.09091
上城,景芳,景芳新五区,120.204185,30.269869,35640.38554,7024.536876,45659,17334,0,0,0,21702.24,31561.6,40060.41176,38947.60714,40060.88889,38667.13636,35282.11111
上城,南肖埠,百大绿城西子国际,120.204048,30.258372,33590.2,2551.881612,37845,30813,0,0,0,0,0,32137.5,37845,32915.5,0,0
拱墅,石桥,华润翠庭,120.204008,30.337357,24276.31915,8623.455101,35899,11083,0,0,0,13330.47059,27556.25,31447.16667,29847.6,29857.83333,31579,34444
上城,火车东站,明桂南苑,120.203959,30.292586,32975.875,2888.285756,37143,29412,0,0,0,0,0,0,30756,37143,32651.33333,0
上城,四季青,怡静坊,120.203871,30.243042,40917.17647,4048.035373,46610,32759,0,0,0,0,38072,45495.75,43069,39603.57143,37391.33333,0
上城,近江,怡和苑,120.20374,30.23268,42988,4189.646226,46538,35863,0,0,0,0,0,0,44299,42551,0,0
上城,近江,怡和苑,120.20373,30.23266,42988,4189.646226,46538,35863,0,0,0,0,0,0,44299,42551,0,0
拱墅,石桥,万泰新语,120.203672,30.335906,31040.8,2722.775672,36307,23178,0,0,0,0,26132,0,32256.875,30809,31579.1,29900.5
上城,火车东站,天庐苑,120.203613,30.296233,30672.33333,5829.803079,39474,15888,0,0,0,0,20549.33333,0,32491.90909,32355.75,33338.5,28960
拱墅,半山,联合畔上居,120.20337,30.357595,29345.2,2911.10985,31791,24540,0,0,0,0,27376,24540,31603.33333,0,0,0
拱墅,石桥,润和亿城嘉园,120.20336,30.337946,15461,3112.900113,21585,11591,0,0,0,15295,16789,0,0,0,0,0
上城,近江,近江家园一园,120.203331,30.230372,38722.35714,8994.277765,53702,23549,0,0,27188,24507,37766.83333,44345,0,48741.25,0,0
上城,四季青,观音塘小区,120.203315,30.244219,40487.38182,6791.134939,51515,8929,0,0,0,19813,35264.5,45561,43391.53333,41655.57143,41513.6,38975.6
上城,近江,临江风帆公寓,120.203147,30.234731,43729.5,8959.398599,53304,26098,0,0,0,26098,0,50438.33333,0,42482,0,0
上城,闸弄口,万家花园欣和苑,120.203024,30.285271,41787.4,6070.695927,53493,30031,0,0,0,0,36390,53493,39474.5,42530.4,0,0
上城,景芳,中豪凤起广场,120.203022,30.264082,11625,0,11625,11625,0,0,0,0,11625,0,0,0,0,0
上城,近江,滨江新苑,120.202942,30.233168,45464.68571,13171.52571,69949,21110,0,0,0,24386.08333,37710.83333,46663,54561.08333,54983.25,57601.16667,44000
上城,近江,钱塘人家,120.202937,30.23665,45851.95,7270.317067,57547,26269,0,0,0,26269,37337.5,55556,48465.66667,45400.8,48548.2,0
