名称,经度,纬度,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1,2020/1/1,2020/2/1,2020/3/1,2020/4/1,2020/5/1,2020/6/1,2020/7/1,2020/8/1,2020/9/1,2020/10/1,2020/11/1,2020/12/1,2021/1/1,2021/2/1,2021/3/1,2021/4/1,2021/5/1,2021/6/1,2021/7/1,2021/8/1,2021/9/1,2021/10/1,2021/11/1,2021/12/1,2022/1/1,2022/2/1,2022/3/1,2022/4/1,2022/5/1,2022/6/1,2022/7/1,2022/8/1,2022/9/1,2022/10/1,2022/11/1,2022/12/1,2023/1/1,2023/2/1,2023/3/1,2023/4/1,2023/5/1,2023/6/1,2023/7/1,2023/8/1,2023/9/1,2023/10/1
武林广场,120.164324,30.272368,0.9034594296298524,1.0,0.9445447665984598,0.9455801640790836,0.4218793966829034,0.5342623680824384,0.3704100337938439,0.28531074218056346,0.8923022704982748,0.3910414896610508,0.30356269618596726,0.003955819398267414,0.17878773805263318,0.26274235540633206,0.3157033463281636,0.34213466723854846,0.16315023098379153,0.33412467934095175,0.27404430627002835,0.2052709654330229,0.5388000863286554,0.19712164964225515,0.3234073592446789,0.09341798641143254,0.22011621585442148,0.12829640233524478,0.2690940681832462,0.3141707395032824,0.09479760574577305,0.10381294000978028,0.16282240064691855,0.2740115232363411,0.17347688659529073,0.17402327049007904,0.19178074707069936,0.07977204863909432,0.05463838947883173,0.010381294000978028,0.03551495316124062,0.11009635479984592,0.06447329958502143,0.1248487199591305,0.041798367951306266,0.06501968347980976,0.05136008611010182,0.01393278931710209,0.01966982021237942,0.016391516843649517,0.013659597369707932,0.0008195758421824759,0.014752365159284566,0.0,0.007376182579642283,0.008468950369218917,0.027046002792021705,0.06829798684853966
钱江新城万象城,120.215513,30.251753,0.7319152886137166,0.7697987106715369,0.7513796000204214,0.5892741609850507,0.5350926617810184,0.7211606740895105,0.7510872037166819,0.49016759413536565,0.601082330444953,1.0,0.6877458101466158,0.026946872055731663,0.31356393964568996,0.44016040025805137,0.8917623142935381,0.18091441142480544,0.14025740157151412,0.2475622038327122,0.20365634616009395,0.15631599222133008,0.17116786796682462,0.273924283280965,0.2677978845359485,0.20328504926645657,0.1602146096045224,0.2114535809264786,0.11630875193190415,0.12039301776191516,0.0989506221543574,0.10489137245255523,0.20792626043692364,0.09653719234571455,0.093938114090253,0.061449635896983684,0.16875443815818178,0.1077689233782448,0.048825541513313316,0.0,0.030724817948491842,0.06386306570562654,0.05736537006697268,0.08725477000478045,0.04706188126853584,0.05745819429038202,0.08437721907909089,0.01707965710731873,0.09273139918593157,0.06117116322675566,0.035087556448730864,0.017915075118002794,0.04344173655557154,0.008725477000478045,0.016801184437090704,0.032859775086906684,0.029053981927123704,0.04158525208738473
湖滨,120.164471,30.252148,0.7152621912244221,0.696929437751329,0.6339630885244312,0.49540831600495183,0.5184290372432097,0.5751943880316847,0.4759217755050853,0.46306991496282157,0.46673678930036494,0.5447962263234973,0.6202681381631647,0.0,0.3043748432354584,0.5456053336354001,0.5501363345820557,0.5585510506258445,0.5454435121730196,0.7074267960159556,0.4922042510498168,0.7053231170050084,0.7171360837587889,0.7431893392020583,1.0,0.7603424142143972,0.6823444693469695,0.6537020705056112,0.6339598520951835,0.5663184808201113,0.5515927277434807,0.6737679318408,0.6051556317914446,0.559845622324889,0.5538582282168084,0.5389706536777973,0.8147144255742639,0.1313423899411779,0.055448124084697355,0.032145833501897356,0.07001205569894735,0.0960653111422168,0.12972417531737235,0.08926880972223346,0.0876505950984279,0.14072803475925014,0.07697037858131124,0.0552863026223168,0.10561277742266957,0.07583762834464736,0.10982013544456401,0.08538509462510013,0.0756758068822668,0.025996617931436244,0.1036709198741029,0.06920294838704458,0.037485941760455686,0.04590065780424458
城西银泰,120.107589,30.299512,0.7687319884726225,0.6123919308357348,1.0,0.9762247838616714,0.3811239193083574,0.29827089337175794,0.33429394812680113,0.27593659942363113,0.2557636887608069,0.24063400576368876,0.19452449567723343,0.035302593659942365,0.13328530259365995,0.18155619596541786,0.1260806916426513,0.16786743515850144,0.1260806916426513,0.15922190201729106,0.1707492795389049,0.164985590778098,0.23991354466858789,0.21974063400576369,0.18804034582132564,0.0792507204610951,0.08429394812680115,0.07708933717579251,0.051152737752161385,0.03314121037463977,0.03314121037463977,0.023054755043227664,0.02089337175792507,0.027377521613832854,0.040345821325648415,0.026657060518731988,0.048270893371757925,0.012968299711815562,0.016570605187319884,0.015129682997118156,0.008645533141210375,0.012968299711815562,0.01729106628242075,0.007204610951008645,0.007204610951008645,0.002161383285302594,0.015129682997118156,0.0,0.002881844380403458,0.001440922190201729,0.013688760806916427,0.013688760806916427,0.019452449567723344,0.011527377521613832,0.0007204610951008645,0.0036023054755043226,0.0,0.008645533141210375
西湖银泰,120.165667,30.243768,1.0,0.9020715630885122,0.8173258003766478,0.7055869428750785,0.5907093534212178,0.6384180790960452,0.5078468298807282,0.6321406151914627,0.6741996233521658,0.4174513496547395,0.24105461393596986,0.059008160703075956,0.08223477715003139,0.2617702448210923,0.40803515379786565,0.6836158192090396,0.5141242937853108,0.322661644695543,0.3333333333333333,0.42623979912115506,0.35530445699937224,0.29315756434400503,0.15881983678593847,0.0973006905210295,0.24795982423101068,0.3603264281230383,0.1933458882611425,0.15505335844318896,0.18016321406151914,0.14500941619585686,0.17639673571876963,0.1876961707470182,0.10483364720652856,0.20778405524168236,0.12429378531073447,0.09541745134965474,0.1293157564344005,0.12366603892027621,0.14249843063402384,0.12052730696798493,0.3898305084745763,0.17639673571876963,0.15819209039548024,0.16760828625235405,0.22598870056497175,0.16195856873822975,0.06465787821720025,0.21343377275580666,0.3628374136848713,0.1613308223477715,0.0778405524168236,0.224105461393597,0.12868801004394226,0.15505335844318896,0.13057124921531701,0.0
庆春广场,120.204748,30.257602,0.7098976109215017,0.4976109215017065,0.616382252559727,0.9180887372013652,0.40273037542662116,0.6675767918088737,0.6641638225255972,0.3180887372013652,0.326962457337884,0.5808873720136519,1.0,0.031399317406143344,0.11331058020477816,0.12901023890784982,0.2129692832764505,0.29692832764505117,0.17679180887372015,0.20409556313993174,0.47986348122866895,0.1863481228668942,0.21638225255972696,0.3023890784982935,0.5631399317406144,0.22866894197952217,0.2204778156996587,0.12832764505119454,0.1720136518771331,0.33310580204778156,0.2279863481228669,0.21706484641638224,0.36450511945392494,0.14061433447098975,0.07986348122866894,0.19180887372013652,0.4750853242320819,0.08122866894197953,0.12696245733788397,0.08464163822525597,0.19658703071672354,0.10307167235494881,0.07098976109215017,0.26552901023890785,0.1174061433447099,0.03890784982935153,0.06348122866894199,0.10034129692832765,0.0006825938566552901,0.0027303754266211604,0.014334470989761093,0.004095563139931741,0.0,0.0034129692832764505,0.004095563139931741,0.0,0.0027303754266211604,0.005460750853242321
西湖文化广场,120.163755,30.276652,0.5314389359129383,0.5641878274889158,0.6573962112051592,0.5238814993954051,0.37273276904474006,0.7228939943571141,1.0,0.31983071342200725,0.35257960499798474,0.5012091898428054,0.7984683595324465,0.020052398226521564,0.055320435308343414,0.17875856509471985,0.07295445384925434,0.14600967351874244,0.2845626763401854,0.10822249093107619,0.44830713422007257,0.15860540104796453,0.1712011285771866,0.4457879887142282,0.48105602579605,0.20143087464731962,0.11326078194276502,0.23669891172914148,0.042724707779121324,0.052801289802499,0.07547359935509876,0.25181378476420796,0.3928859330914954,0.030128980249899236,0.1712011285771866,0.4457879887142282,0.3072349858927852,0.09310761789600969,0.03768641676743249,0.007456670697299476,0.0956267634018541,0.022571543732365983,0.017533252720677146,0.09058847239016526,0.14097138250705363,0.0024183796856106408,0.004937525191455058,0.017533252720677146,0.032648125755743655,0.0024183796856106408,0.0024183796856106408,0.0006549778315195486,0.0005794034663442161,0.0003022974607013301,0.0007305521966948812,0.00012595727529222088,0.0,5.038291011688835e-05
钱江新城奥莱,120.214063,30.244369,0.0370774925662965,0.032526245524607075,0.04090054008131561,0.02949208083014746,0.18113963225923904,0.17161235511863585,0.1679713574852843,0.17149098853085745,0.1765883852175496,0.1894532435220584,0.5665392317494994,1.0,0.9760907822076582,0.05212694945081619,0.055221797439165,0.045209053947448265,0.06565932398810607,0.06832938891923053,0.07354815219370107,0.07688573335760665,0.0835002123915286,0.07476181807148492,0.05983372777474361,0.0679046058620062,0.060137144244189575,0.0717883366709145,0.07269858607925238,0.05340129862248923,0.06978578797257115,0.0,0.05607136355361369,0.052066266156927,0.0835002123915286,0.07476181807148492,0.02105710297954973,0.016687905819527882,0.02318101826567146,0.016687905819527882,0.020693003216214576,0.02955276412403665,0.047454335821348385,0.041203956550761575,0.027550215425693306,0.010437526548941076,0.012075975483949269,0.007221311972813884,0.004308513866132653,0.012440075247284422,0.0181443048728685,0.011044359487833,0.010747011347775958,0.007281995266703077,0.013471691243400691,0.008799077613932884,0.0055221797439165,0.007767461617816615
